Unnamed: 0,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
79,MAHARASHTRA,PARBHANI,Zari,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
80,"""UTTAR PRADESH""",PRAYAGRAJ,"""MEJA ROAD""",17.01499097748317,8.14916666666667,,7.30333333333333,2.7933333333333303,146.75,159.302666666667,19.3333333333333,0.006083333333333,14.083333333333302,1075.0,8.0,0.4225
81,MAHARASHTRA,YAVATMAL,"""P.G. Bridge""",4.41666666666667,8.365,,7.31666666666667,2.25,220.23367054827756,224.55675,26.309166666666698,0.00785,12.535,21995.8333333333,3.20116666666667,0.4625833333333329
82,TAMILNADU,SALEM,THEVUR,17.01499097748317,8.04,,6.703154676138132,2.6815519541519084,220.23367054827756,256.42725,57.9625,0.07788076145771602,46.5625,28662.758076799753,3.6826225806451607,0.72075
83,RAJASTHAN,CHITTAURGARH,Chittorgarh,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
84,ASSAM,TINSUKIA,Dholabazar,17.01499097748317,7.7,,6.703154676138132,2.6815519541519084,186.5,179.48325,12.0,0.07788076145771602,1.28,28662.758076799753,3.6826225806451607,0.3672985530539035
85,UTTARAKHAND,DEHRADUN,"""HARIDWAR U/S""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
86,MAHARASHTRA,BULDANA,YERLI,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
87,ODISHA,ANUGUL,Talcher,17.01499097748317,7.73333333333333,,7.7275,0.348333333333333,220.23367054827756,51.354175,12.541666666666698,0.001254545454545,10.9916666666667,28662.758076799753,3.6826225806451607,0.05
88,TELANGANA,NALGONDA,Halia,3.4219999999999997,8.1,,6.0888888888888895,0.8,537.2,209.9667,79.87,1e-05,56.47,1605.0,3.6826225806451607,0.98
89,"""MADHYA PRADESH""",GUNA,"""A.B.Road Xing""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
90,TELANGANA,KHAMMAM,Sangam,26.76,7.98,,6.25,0.75,268.0,160.80007,22.9,0.0,39.88,6736.0,4.7173,0.836
91,"""UTTAR PRADESH""",SULTANPUR,SULTANPUR,17.01499097748317,8.31166666666667,,7.54,2.9366666666666696,204.666666666667,181.69641666666698,27.25,0.0,24.25,3125.0,2.0,0.3768333333333329
92,"""UTTAR PRADESH""",LUCKNOW,"""Lucknow (Hanuman Setu)""",4.1,8.12833333333333,,3.51,11.816666666666698,263.33333333333303,242.21083333333303,21.507083333333302,0.368,16.24,28662.758076799753,3.6826225806451607,0.3530833333333329
93,TELANGANA,KHAMMAM,Madhira,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
94,"""MADHYA PRADESH""",BALAGHAT,Kumhari,4.225,7.9775,,6.74166666666667,2.2083333333333304,220.23367054827756,159.637416666667,8.6025,0.004608333333333,8.35166666666667,7537.66666666667,3.9317,0.36735
95,TRIPURA,"""SOUTH TRIPURA""","""NUTANBAZAR GD SITE""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
96,ASSAM,LAKHIMPUR,Badatighat,17.01499097748317,7.51,,6.703154676138132,2.6815519541519084,98.5,79.89045,7.0625,0.07788076145771602,1.1825,28662.758076799753,3.6826225806451607,0.3672985530539035
97,UTTARAKHAND,GARHWAL,"""SATPULI U/S""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
98,BIHAR,SAHARSA,Baltara,17.01499097748317,7.65333333333333,,6.703154676138132,1.9609999999999999,152.416666666667,198.238083333333,18.7575,0.07788076145771602,13.166666666666698,28662.758076799753,3.6826225806451607,0.3672985530539035
99,TAMILNADU,THIRUVARUR,Annavasal,17.01499097748317,7.78,,6.703154676138132,1.46,106.0,79.5333,25.52,0.07788076145771602,8.94,28662.758076799753,3.6826225806451607,0.34
100,CHHATTISGARH,BILASPUR,Ghatora,17.01499097748317,7.89555555555556,,6.51111111111111,4.68888888888889,220.23367054827756,165.447222222222,34.6666666666667,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
101,"""ARUNACHAL PRADESH""","""WEST SIANG""","""Kabu basti (Kambang)""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
102,ODISHA,GAJAPATI,Kashinagar,17.01499097748317,7.75833333333333,,6.703154676138132,2.6815519541519084,220.23367054827756,55.0694333333333,18.75,0.0023,22.1833333333333,28662.758076799753,3.6826225806451607,0.05
103,BIHAR,"""PURBA CHAMPARAN""",Dumariaghat,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
104,TRIPURA,"""NORTH TRIPURA""","""KUMARGHAT GD SITE""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
