Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F,lats,longs
289,"""MADHYA PRADESH""",BALAGHAT,Rajegaon,8.9,7.58909090909091,,6.67272727272727,1.6363636363636398,,111.13028181818198,7.79,0.005216666666666999,14.68,24093.6363636364,3.30543333333333,0.3648,21.1134365,79.8871647
290,UTTARAKHAND,RUDRAPRAYAG,"""AUGUSTMUNI U/S""",,,,,,,,,,,,,,27.50782625,82.79432381499745
291,GUJARAT,VADODARA,Garudeshwar,2.1666666666666696,7.955,,7.0,1.51666666666667,227.333333333333,112.541666666667,67.1666666666667,0.068,11.4,1100.0,,0.163333333333333,21.8898443,73.6551011
292,MAHARASHTRA,KOLHAPUR,KURUNDWAD,,7.1825,,7.575,0.475,,83.420075,14.06,0.0033141675,23.8375,10275.0,2.34,0.312,16.685815,74.5345436
293,"""WEST BENGAL""",NADIA,HANSKHALI,,,,,,,181.463833333333,16.712916666666697,,7.68,,,,23.3483168,88.63362424902746
294,MEGHALAYA,"""SOUTH GARO HILLS""",SIBBARI,,6.79833333333333,,,,54.1666666666667,63.4215,11.333333333333302,,1.21,,,,25.175148,90.5053143
295,CHHATTISGARH,BILASPUR,Jondhra,,8.14,,7.24,0.76,,108.4816,19.0,,,,,,72.0,18.0
296,BIHAR,VAISHALI,Lalganj,,8.4,,,,186.2,169.906833333333,21.8333333333333,,2.0,,,,25.7921635,82.96173360202592
297,"""MADHYA PRADESH""",SHAHDOL,GOVARDHEGHAT,,,,,,,,,,,,,,72.0,18.0
298,CHHATTISGARH,RAIGARH,Kurubhata,,8.26083333333333,,7.38333333333333,0.475,,74.3146416666667,13.583333333333302,,,,,,72.0,18.0
299,"""MADHYA PRADESH""",HOSHANGABAD,Chhidgaon,75.175,8.07416666666667,,6.70833333333333,1.06666666666667,236.166666666667,167.151308333333,10.5,0.03308333333333299,10.7333333333333,,,0.22633333333333303,22.3948274,77.2975807
300,ODISHA,SUNDARGARH,Sundergarh,,8.18818181818182,,7.39090909090909,0.736363636363636,,81.96743636363641,13.909090909090901,,,,,,22.1181799,84.0361994
301,TELANGANA,KHAMMAM,Konta,15.3625,7.85833333333333,,6.70833333333333,0.641666666666667,92.1666666666667,61.375,3.6416666666666697,0.0,11.525,4880.0,2.7859,0.15,8.3347322,-12.841181
302,TAMILNADU,KANNIYAKUMARI,KUZHITHURAI,,7.11166666666667,,,,219.833333333333,56.1110666666667,53.866666666666696,0.0555,14.3666666666667,,3.84,0.9701666666666671,8.310425,77.212382
303,"""MADHYA PRADESH""",HOSHANGABAD,Sandia,118.508333333333,8.09083333333333,,6.64166666666667,0.691666666666667,153.166666666667,122.72494166666701,8.325,0.027000000000000003,6.71333333333333,,,0.19375,-13.833333,-69.333333
304,RAJASTHAN,KOTA,Sangod,,,,,,,,,,,,,,24.9251835,76.2861027
305,KARNATAKA,BELLARY,"""T. Ramapuram""",17.55,8.2,,6.5,1.2,944.0,219.542,184.0,0.0,178.0,16000.0,,0.77,13.0298609,80.1780333
306,"""UTTAR PRADESH""",SHRAWASTI,Bhinga,,,,,,,,,,,,,,27.76878445,81.8919565184319
307,JHARKHAND,"""PURBI SINGHBHUM""",Jamshedpur,,7.54166666666667,,5.9325,1.1925,,99.2361166666667,32.5166666666667,0.02185,46.4166666666667,,,0.05,22.8015194,86.2029579
308,KERALA,MALAPPURAM,KARATHODU,,6.83,,6.18333333333333,0.6466666666666671,56.1666666666667,28.0486,11.566666666666698,0.011166666666667,0.9666666666666658,1210.0,4.525,0.28616666666666696,11.0609828,76.034652
309,TELANGANA,NALGONDA,Gandlapet,,,,,,,,,,,,,,18.8235431,78.4413905
310,UTTARAKHAND,DEHRADUN,"""RISHIKESH D/S""",,,,,,,,,,,,,,30.1086537,78.2916193
311,"""ARUNACHAL PRADESH""","""UPPER SUBANSIRI""",Lemeking,,7.85,,,,86.5,97.4585,1.0,,,,,,72.0,18.0
312,BIHAR,MADHUBANI,Jhanjharpur,,8.245,,,2.342,226.083333333333,192.59025,27.4166666666667,,4.16666666666667,,,,26.287153,86.34039251717346
313,KERALA,KOTTAYAM,KIDANGOOR,,6.76,,6.36666666666667,0.803333333333333,33.5,20.645816666666697,7.85,0.012,0.666666666666667,1600.0,2.38,0.14525,9.6844743,76.6099027
314,ASSAM,LAKHIMPUR,Chouldhowaghat,,7.885,,8.325,,80.75,82.73755,4.8125,,1.2025,,,,72.0,18.0
315,CHHATTISGARH,BASTAR,Jagdalpur,21.4088888888889,7.78888888888889,,6.7,0.8222222222222221,107.555555555556,104.101777777778,6.28888888888889,0.0,9.07777777777778,7728.8888888888905,2.06,0.132222222222222,19.0870758,82.0235715
316,RAJASTHAN,TONK,Tonk,,,,,,,,,,,,,,26.12214725,75.66375373932236
317,ASSAM,SONITPUR,"""NT Road Crossing JiaBharali""",,7.345,,8.2,,66.75,76.0853875,5.5,,1.2375,,,,72.0,18.0
318,TAMILNADU,THENI,Ambasamudram,,7.96,,10.0,1.7,,71.9292,11.61,,7.88,,,0.2675,8.7086699,77.34555070222673
319,ASSAM,GOLAGHAT,Golaghat,,7.40875,,8.075,,96.25,98.756375,6.625,,1.1975,,,,26.40490095,94.03209112120626
320,GUJARAT,SURAT,MOTINAROLI,3.3333333333333304,8.15,,6.1909090909090905,1.88833333333333,617.083333333333,117.65283333333299,95.3333333333333,0.09,13.0083333333333,3250.0,,0.19833333333333303,72.0,18.0
321,"""MADHYA PRADESH""",CHHATARPUR,GARRAULI,,8.2725,,,,,143.545325,18.6375,0.05865,5.16,,,0.39425,72.0,18.0
322,ASSAM,SIVASAGAR,Sivasagar,,7.4075,,8.125,,99.875,114.232375,19.5625,,1.1875,,,,26.9834936,94.6394226
323,TAMILNADU,KARUR,MUSIRI,,8.042,,6.68,2.34,276.0,149.89906000000002,45.35,,21.134,,1.8,0.3214,11.04970175,78.52803923522667
324,MAHARASHTRA,PUNE,Sarati,,7.68,,,0.8,,163.1225,32.13,0.015156285,66.4,62500.0,2.19,0.33899999999999997,21.0858291,79.9354335
325,"""UTTAR PRADESH""",GHAZIPUR,"""Ghazipur (Jamalpur Bridge)""",,,,,,,,,,,,,,72.0,18.0
326,TAMILNADU,NAMAKKAL,KODUMUDI,,8.08636363636364,,6.38181818181818,3.35454545454545,286.25,153.196118181818,61.2409090909091,,21.5954545454545,,2.73,0.342818181818182,11.13381335,77.83421853586054
327,TAMILNADU,COIMBATORE,AMBARAMPALAYAM,,7.65333333333333,,6.9,1.34166666666667,97.2,79.6583,16.134166666666697,,4.27666666666667,,3.195,0.2725,72.0,18.0
328,"""MADHYA PRADESH""",SAGAR,Natunhat,,,,,,,,,,,,,,23.12644025,89.14074419153596
329,MAHARASHTRA,PARBHANI,Purrna,18.4033333333333,7.86666666666667,,5.31666666666667,1.5,277.0,186.527666666667,20.25,6.66666666666667e-05,26.48,10870.0,2.7975666666666696,0.5660000000000001,72.0,18.0
330,"""ARUNACHAL PRADESH""","""EAST KAMENG""",Seppa,,7.325,,,,103.625,61.8541,15.475,,1.1975,,,,27.3594183,93.0406098
331,MAHARASHTRA,SOLAPUR,Takli,,7.64,,,0.95,,136.73035,28.335,0.0040091,56.2,2615.0,,0.365,19.7062585,78.7379086
332,MEGHALAYA,"""RI BHOI""",BYRNIHAT,,,,,,,,,,,,,,26.0543348,91.8696498
333,ASSAM,CACHAR,DHOLAI,,6.8908333333333305,,,,67.25,75.2479083333333,10.5,,1.2025,,,,24.5958997,92.8463656
334,"""MADHYA PRADESH""",MANDLA,Manot,60.5916666666667,8.10333333333333,,6.575,0.891666666666667,130.583333333333,114.417441666667,8.75833333333333,0.05,6.31333333333333,,,0.18783333333333302,45.9420927,0.6361356
335,KERALA,KASARAGOD,ERINJIPUZHA,,6.734,,6.142,0.5920000000000001,32.8,20.975,6.96,0.026000000000000002,0.9,1241.5,3.32,0.14714000000000002,72.0,18.0
336,ASSAM,"""KARBI ANGLONG""",Bokajan,,7.47875,,,,87.0,93.206325,6.0,,1.23,,,,26.0235087,93.7707012
337,ODISHA,SUNDARGARH,Gomlai,,7.801666666666669,,7.26416666666667,0.681666666666667,,63.6458416666667,16.25,0.00345,16.0083333333333,,,0.05,72.0,18.0
338,KARNATAKA,BIDAR,Saigaon,2.315,8.1,,6.275,2.025,321.5,230.70825,36.225,0.0,35.725,9025.0,3.69,0.4275,20.9393972,79.814694
