Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
272,BIHAR,MUZAFFARPUR,"""Sikandarpur (Muzzafarpur)""",,8.1875,,6.58575,2.02616666666667,246.75,213.90075,27.75,,8.83333333333333,,,
273,TAMILNADU,KANNIYAKUMARI,ASHRAMAM,,7.02166666666667,,7,,329.666666666667,132.06945,52.6,0.093666666666667,16.1833333333333,,3.03,2.07783333333333
274,TRIPURA,"""WEST TRIPURA""",Sonamura,,,,,,,,,,,,,
275,ASSAM,CACHAR,Dholai,,6.89083333333333,,,,67.25,75.2479083333333,10.5,,1.2025,,,
276,TAMILNADU,NAGAPPATTINAM,Porakudi,,7.5,,,1.19333333333333,114.666666666667,75.3944333333333,30.25,,7.84666666666667,,,0.226666666666667
277,MAHARASHTRA,RAIGARH,Mangaon,,7,,6.3,0.94,,38.60608,4.56,0.003445746,9.02,135400,5.1,0.2732
278,ODISHA,BALESHWAR,"""Govindapur (NH5 Road Bridge)""",,7.64166666666667,,,,,62.3889,21.95,0,20.3166666666667,,,0.05
279,ODISHA,KENDUJHAR,Champua,,7.41666666666667,,,,,43.3472,13.4833333333333,0.0046,13.4666666666667,,,0.05
280,"""WEST BENGAL""",NADIA,CHAPRA,,,,,,,194.8099,16.4770833333333,,13.6083333333333,,,
281,MIZORAM,AIZAWL,Turial,,,,,,,,,,,,,
282,MAHARASHTRA,NANDED,Yelli,,,,,,,,,,,,,
283,MEGHALAYA,"""SOUTH GARO HILLS""",Dimapara,,6.85833333333333,,,,71.2666666666667,71.670125,12.5,,1.19166666666667,,,
284,UTTARAKHAND,HARDWAR,"""ROORKEE U/S""",,,,,,,,,,,,,
285,"""MADHYA PRADESH""",SEONI,Keolari,,,,,,,,,,,,,
286,CHHATTISGARH,RAIPUR,Baronda,,8.15,,7.5,0.55,,54.2583333333333,13,,,,,
287,TAMILNADU,TIRUNELVELI,A.P.PURAM,,7.45,,,,165,139.789,60.86,,32.0366666666667,,0.02,0.367
288,ODISHA,GANJAM,Purushottampur,,7.765,,,,,72.47915,21.35,0,18.925,,,0.05
289,"""MADHYA PRADESH""",BALAGHAT,Rajegaon,8.9,7.58909090909091,,6.67272727272727,1.63636363636364,,111.130281818182,7.79,0.005216666666667,14.68,24093.6363636364,3.30543333333333,0.3648
290,UTTARAKHAND,RUDRAPRAYAG,"""AUGUSTMUNI U/S""",,,,,,,,,,,,,
291,GUJARAT,VADODARA,Garudeshwar,2.16666666666667,7.955,,7,1.51666666666667,227.333333333333,112.541666666667,67.1666666666667,0.068,11.4,1100,,0.163333333333333
292,MAHARASHTRA,KOLHAPUR,KURUNDWAD,,7.1825,,7.575,0.475,,83.420075,14.06,0.0033141675,23.8375,10275,2.34,0.312
293,"""WEST BENGAL""",NADIA,HANSKHALI,,,,,,,181.463833333333,16.7129166666667,,7.68,,,
294,MEGHALAYA,"""SOUTH GARO HILLS""",SIBBARI,,6.79833333333333,,,,54.1666666666667,63.4215,11.3333333333333,,1.21,,,
295,CHHATTISGARH,BILASPUR,Jondhra,,8.14,,7.24,0.76,,108.4816,19,,,,,
296,BIHAR,VAISHALI,Lalganj,,8.4,,,,186.2,169.906833333333,21.8333333333333,,2,,,
297,"""MADHYA PRADESH""",SHAHDOL,GOVARDHEGHAT,,,,,,,,,,,,,
